# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000400   ---        --------
               6   E   00000400   00000000   00000200   mstatus    00001800
               6   E   00000400   00000000   00000200   mepc       00000400
               6   E   00000400   00000000   00000200   mcause     00000002
               6   E   00000400   00000000   00000200   mtval      00000000
               9   N   00000200   0000e101   00000204   x10_a0     00000000
              10   N   00000204   00004e01   00000206   ---        --------
              11   N   00000206   00000297   00000208   x28_t3     00000000
              12   N   00000208   f3828293   0000020c   x05_t0     00000208
              13   N   0000020c   30529073   00000210   x05_t0     00000140
              14   N   00000210   00004505   00000214   ---        --------
              15   N   00000214   0000057e   00000216   x10_a0     00000001
              16   N   00000216   00054863   00000218   x10_a0     80000000
              17   N   00000218   0ff0000f   00000228   ---        --------
              20   N   00000228   00028f63   0000022c   x05_t0     00000000
              21   N   0000022c   10529073   0000024a   ---        --------
              25   N   0000024a   00006509   0000024e   ---        --------
              26   N   0000024e   00006509   0000024e   ---        --------
              27   N   0000024e   80050513   00000250   x10_a0     00002000
              28   N   00000250   30052073   00000254   x10_a0     00001800
              29   N   00000254   00000297   00000258   ---        --------
              30   N   00000258   00000297   00000258   ---        --------
              31   N   00000258   64728293   0000025c   x05_t0     00000258
              32   N   0000025c   34129073   00000260   x05_t0     0000089f
              33   N   00000260   f1402573   00000264   ---        --------
              34   N   00000264   30200073   00000268   x10_a0     00000000
              36   N   00000268   00000000   0000089e   ---        --------
              39   N   0000089e   00200e13   000008a0   x08_s0     00000080
              40   N   000008a0   00000313   000008a4   x28_t3     00000002
              41   N   000008a4   00000297   000008a8   x06_t1     00000000
              42   N   000008a8   00c28293   000008ac   x05_t0     000008a8
              43   N   000008ac   00228367   000008b0   x05_t0     000008b4
              44   N   000008b0   0000a011   000008b6   x06_t1     000008b4
              47   N   000008b6   0e80006f   000008bc   ---        --------
              50   N   000008bc   00000297   000008c0   x28_t3     00000003
              51   N   000008c0   00c28293   000008c4   x05_t0     000008c0
              52   N   000008c4   00128367   000008c8   x05_t0     000008cc
              53   N   000008c8   0080006f   000008cc   x06_t1     000008cc
              56   N   000008cc   0d00006f   000008d4   ---        --------
              59   N   000008d4   00000313   000008d8   x28_t3     00000004
              60   N   000008d8   00000297   000008dc   x06_t1     00000000
              61   N   000008dc   00c28293   000008e0   x05_t0     000008dc
              62   N   000008e0   00328367   000008e4   x05_t0     000008e8
              63   N   000008e4   0000a011   000008ea   x06_t1     000008e8
              66   N   000008ea   0b40006f   000008f0   ---        --------
              69   N   000008f0   00000313   000008f4   x28_t3     00000005
              70   N   000008f4   00000297   000008f8   x06_t1     00000000
              71   N   000008f8   00c28293   000008fc   x05_t0     000008f8
              72   N   000008fc   0060036f   00000900   x05_t0     00000904
              73   N   00000900   0000a011   00000906   x06_t1     00000904
              76   N   00000906   0980006f   0000090c   ---        --------
              79   N   0000090c   00000313   00000910   x28_t3     00000006
              80   N   00000910   00000297   00000914   x06_t1     00000000
              81   N   00000914   00c28293   00000918   x05_t0     00000914
              82   N   00000918   00000363   0000091c   x05_t0     00000920
              83   N   0000091c   0000a011   00000922   ---        --------
              86   N   00000922   07c0006f   00000928   ---        --------
              89   N   00000928   00001563   0000092c   x28_t3     00000007
              90   N   0000092c   00c0006f   00000930   ---        --------
              91   N   00000930   0000a009   0000093c   ---        --------
              94   N   0000093c   301023f3   00000940   x28_t3     00000008
              95   N   00000940   0043f393   00000944   x07_t2     40001104
              96   N   00000944   04038863   00000948   x07_t2     00000004
              97   N   00000948   00000001   0000094c   ---        --------
              98   N   0000094c   30127073   0000094e   ---        --------
              99   N   0000094e   00000001   00000952   ---        --------
             100   N   00000952   301023f3   00000954   ---        --------
             101   N   00000954   0043f393   00000958   x07_t2     40001104
             102   N   00000958   04038263   0000095c   x07_t2     00000004
             103   N   0000095c   00000297   00000960   ---        --------
             104   N   00000960   03428293   00000964   x05_t0     00000960
             105   N   00000964   ffe28293   00000968   x05_t0     00000994
             106   N   00000968   34129073   0000096c   x05_t0     00000992
             107   N   0000096c   30127073   00000970   ---        --------
             108   N   00000970   301023f3   00000974   ---        --------
             109   N   00000974   0043f393   00000978   x07_t2     40001104
             110   N   00000978   00039e63   0000097c   x07_t2     00000004
             111   N   0000097c   000023b7   00000998   ---        --------
             114   N   00000998   01c01a63   000009b0   ---        --------
             117   N   000009b0   000e0593   000009b4   ---        --------
             118   N   000009b4   00000513   000009b8   x11_a1     00000008
             119   N   000009b8   00000073   000009bc   x10_a0     00000000
             120   E   000009bc   00200513   00000140   mstatus    00001800
             120   E   000009bc   00200513   00000140   mepc       000009bc
             120   E   000009bc   00200513   00000140   mcause     0000000b
             120   E   000009bc   00200513   00000140   mtval      00000000
             123   N   00000140   000047a1   00000144   x14_a4     0000000b
             124   N   00000144   04f70263   00000146   x15_a5     00000008
             125   N   00000146   000047a5   0000014a   ---        --------
             126   N   0000014a   02f70f63   0000014c   x15_a5     00000009
             127   N   0000014c   000047ad   00000150   ---        --------
             128   N   00000150   02f70c63   00000152   x15_a5     0000000b
             129   N   00000152   47ad0837   0000018a   ---        --------
             133   N   0000018a   08370013   00000a40   ---        --------
             136   N   00000a40   00008282   00000a44   x05_t0     000000f4
             137   N   00000a44   00000013   000000f4   ---        --------
             140   N   000000f4   0000006f   000000f8   ---        --------
             141   N   000000f8   ffffffff   000000f8   ---        --------
