# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   1f828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     00000400
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028f63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   0000024a   ---        --------
              22   N   0000024a   00006509   0000024e   ---        --------
              23   N   0000024e   00006509   0000024e   ---        --------
              24   N   0000024e   80050513   00000250   x10_a0     00002000
              25   N   00000250   30052073   00000254   x10_a0     00001800
              26   N   00000254   00001297   00000258   ---        --------
              27   N   00000258   00001297   00000258   ---        --------
              28   N   00000258   88728293   0000025c   x05_t0     00001258
              29   N   0000025c   34129073   00000260   x05_t0     00000adf
              30   N   00000260   f1402573   00000264   ---        --------
              31   N   00000264   30200073   00000268   x10_a0     00000000
              33   N   00000268   00000000   00000ade   ---        --------
              36   N   00000ade   00200e13   00000ae0   x08_s0     00000080
              37   N   00000ae0   00000313   00000ae4   x28_t3     00000002
              38   N   00000ae4   00000297   00000ae8   x06_t1     00000000
              39   N   00000ae8   00c28293   00000aec   x05_t0     00000ae8
              40   N   00000aec   00228367   00000af0   x05_t0     00000af4
              41   N   00000af0   0000a011   00000af6   x06_t1     00000af4
              44   N   00000af6   0e80006f   00000afc   ---        --------
              47   N   00000afc   00000297   00000b00   x28_t3     00000003
              48   N   00000b00   00c28293   00000b04   x05_t0     00000b00
              49   N   00000b04   00128367   00000b08   x05_t0     00000b0c
              50   N   00000b08   0080006f   00000b0c   x06_t1     00000b0c
              53   N   00000b0c   0d00006f   00000b14   ---        --------
              56   N   00000b14   00000313   00000b18   x28_t3     00000004
              57   N   00000b18   00000297   00000b1c   x06_t1     00000000
              58   N   00000b1c   00c28293   00000b20   x05_t0     00000b1c
              59   N   00000b20   00328367   00000b24   x05_t0     00000b28
              60   N   00000b24   0000a011   00000b2a   x06_t1     00000b28
              63   N   00000b2a   0b40006f   00000b30   ---        --------
              66   N   00000b30   00000313   00000b34   x28_t3     00000005
              67   N   00000b34   00000297   00000b38   x06_t1     00000000
              68   N   00000b38   00c28293   00000b3c   x05_t0     00000b38
              69   N   00000b3c   0060036f   00000b40   x05_t0     00000b44
              70   N   00000b40   0000a011   00000b46   x06_t1     00000b44
              73   N   00000b46   0980006f   00000b4c   ---        --------
              76   N   00000b4c   00000313   00000b50   x28_t3     00000006
              77   N   00000b50   00000297   00000b54   x06_t1     00000000
              78   N   00000b54   00c28293   00000b58   x05_t0     00000b54
              79   N   00000b58   00000363   00000b5c   x05_t0     00000b60
              80   N   00000b5c   0000a011   00000b62   ---        --------
              83   N   00000b62   07c0006f   00000b68   ---        --------
              86   N   00000b68   00001563   00000b6c   x28_t3     00000007
              87   N   00000b6c   00c0006f   00000b70   ---        --------
              88   N   00000b70   0000a009   00000b7c   ---        --------
              91   N   00000b7c   301023f3   00000b80   x28_t3     00000008
              92   N   00000b80   0043f393   00000b84   x07_t2     40001104
              93   N   00000b84   04038863   00000b88   x07_t2     00000004
              94   N   00000b88   00000001   00000b8c   ---        --------
              95   N   00000b8c   30127073   00000b8e   ---        --------
              96   N   00000b8e   00000001   00000b92   ---        --------
              97   N   00000b92   301023f3   00000b94   ---        --------
              98   N   00000b94   0043f393   00000b98   x07_t2     40001104
              99   N   00000b98   04038263   00000b9c   x07_t2     00000004
             100   N   00000b9c   00000297   00000ba0   ---        --------
             101   N   00000ba0   03428293   00000ba4   x05_t0     00000ba0
             102   N   00000ba4   ffe28293   00000ba8   x05_t0     00000bd4
             103   N   00000ba8   34129073   00000bac   x05_t0     00000bd2
             104   N   00000bac   30127073   00000bb0   ---        --------
             105   N   00000bb0   301023f3   00000bb4   ---        --------
             106   N   00000bb4   0043f393   00000bb8   x07_t2     40001104
             107   N   00000bb8   00039e63   00000bbc   x07_t2     00000004
             108   N   00000bbc   000023b7   00000bd8   ---        --------
             111   N   00000bd8   01c01a63   00000bf0   ---        --------
             114   N   00000bf0   000e0593   00000bf4   ---        --------
             115   N   00000bf4   00000513   00000bf8   x11_a1     00000008
             116   N   00000bf8   00000073   00000bfc   x10_a0     00000000
             117   E   00000bfc   00200513   00000400   mstatus    00001800
             117   E   00000bfc   00200513   00000400   mepc       00000bfc
             117   E   00000bfc   00200513   00000400   mcause     0000000b
             117   E   00000bfc   00200513   00000400   mtval      00000000
